query,query_classification,query_cluster,intended_owner_slug_phase416,intended_owner_production_url,owner_page_exists,actual_gsc_landing_page,correct_owner,clicks,impressions,ctr,position,cannibalization_risk_gsc,cannibalization_risk_structural,opportunity_class,contextual_inbound_links,owner_word_count,evidence_class
oem wooden speaker cabinet manufacturer,OEM_ODM,OEM speaker cabinet,oem-wooden-speaker-cabinet-manufacturer,https://woodsat.com/oem-wooden-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,7,1224,STRUCTURAL_INFERRED (no GSC)
speaker cabinet oem manufacturer,OEM_ODM,OEM speaker cabinet,oem-wooden-speaker-cabinet-manufacturer,https://woodsat.com/oem-wooden-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,7,1224,STRUCTURAL_INFERRED (no GSC)
odm speaker enclosure,OEM_ODM,OEM speaker cabinet,oem-wooden-speaker-cabinet-manufacturer,https://woodsat.com/oem-wooden-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,7,1224,STRUCTURAL_INFERRED (no GSC)
speaker cabinet cnc machining,SERVICE,CNC speaker cabinet,speaker-cabinet-cnc-machining-service,https://woodsat.com/speaker-cabinet-cnc-machining-service/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,7,1298,STRUCTURAL_INFERRED (no GSC)
speaker cabinet cnc machining service,SERVICE,CNC speaker cabinet,speaker-cabinet-cnc-machining-service,https://woodsat.com/speaker-cabinet-cnc-machining-service/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,7,1298,STRUCTURAL_INFERRED (no GSC)
cnc wood routing,SERVICE,CNC speaker cabinet,custom-cnc-wood-routing-services,https://woodsat.com/custom-cnc-wood-routing-services/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,11,619,STRUCTURAL_INFERRED (no GSC)
cnc speaker cabinet manufacturing,SERVICE,CNC speaker cabinet,speaker-cabinet-cnc-machining-service,https://woodsat.com/speaker-cabinet-cnc-machining-service/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,7,1298,STRUCTURAL_INFERRED (no GSC)
hifi speaker cabinet,PRODUCT_APPLICATION,HIFI speaker cabinet,hifi-speaker-cabinet-manufacturer,https://woodsat.com/hifi-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,4,1270,STRUCTURAL_INFERRED (no GSC)
hifi speaker cabinet manufacturer,PRODUCT_APPLICATION,HIFI speaker cabinet,hifi-speaker-cabinet-manufacturer,https://woodsat.com/hifi-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,4,1270,STRUCTURAL_INFERRED (no GSC)
audiophile speaker cabinet,PRODUCT_APPLICATION,HIFI speaker cabinet,hifi-speaker-cabinet-manufacturer,https://woodsat.com/hifi-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,4,1270,STRUCTURAL_INFERRED (no GSC)
wooden speaker enclosure manufacturer,COMMERCIAL,speaker enclosure,wooden-speaker-enclosure-manufacturer,https://woodsat.com/wooden-speaker-enclosure-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,6,1220,STRUCTURAL_INFERRED (no GSC)
speaker enclosure manufacturer,COMMERCIAL,speaker enclosure,wooden-speaker-enclosure-manufacturer,https://woodsat.com/wooden-speaker-enclosure-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,6,1220,STRUCTURAL_INFERRED (no GSC)
acoustic speaker enclosure,PRODUCT_APPLICATION,speaker enclosure,acoustic-wood-speaker-enclosures,https://woodsat.com/acoustic-wood-speaker-enclosures/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,8,1331,STRUCTURAL_INFERRED (no GSC)
wooden speaker box manufacturer,COMMERCIAL,speaker box,wooden-speaker-box-manufacturer,https://woodsat.com/wooden-speaker-box-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,6,1272,STRUCTURAL_INFERRED (no GSC)
speaker box,PRODUCT_APPLICATION,speaker box,wooden-speaker-box-manufacturer,https://woodsat.com/wooden-speaker-box-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,6,1272,STRUCTURAL_INFERRED (no GSC)
speaker box manufacturer,COMMERCIAL,speaker box,wooden-speaker-box-manufacturer,https://woodsat.com/wooden-speaker-box-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,6,1272,STRUCTURAL_INFERRED (no GSC)
empty speaker box,PRODUCT_APPLICATION,empty speaker box,custom-empty-wooden-speaker-cabinet-boxes-manufacturer,https://woodsat.com/custom-empty-wooden-speaker-cabinet-boxes-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,11,1441,STRUCTURAL_INFERRED (no GSC)
empty speaker cabinet manufacturer,COMMERCIAL,empty speaker box,custom-empty-wooden-speaker-cabinet-boxes-manufacturer,https://woodsat.com/custom-empty-wooden-speaker-cabinet-boxes-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,11,1441,STRUCTURAL_INFERRED (no GSC)
blank speaker cabinet,PRODUCT_APPLICATION,empty speaker box,custom-empty-wooden-speaker-cabinet-boxes-manufacturer,https://woodsat.com/custom-empty-wooden-speaker-cabinet-boxes-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,11,1441,STRUCTURAL_INFERRED (no GSC)
subwoofer cabinet,PRODUCT_APPLICATION,subwoofer,subwoofer-enclosure-design,https://woodsat.com/subwoofer-enclosure-design/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,12,695,STRUCTURAL_INFERRED (no GSC)
subwoofer enclosure design,INFORMATIONAL,subwoofer,subwoofer-enclosure-design,https://woodsat.com/subwoofer-enclosure-design/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,12,695,STRUCTURAL_INFERRED (no GSC)
bookshelf speaker cabinet,PRODUCT_APPLICATION,bookshelf speaker cabinet,NONE (content gap),NONE,NO,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,CONTENT_GAP,0,0,STRUCTURAL_INFERRED (no GSC)
mdf speaker cabinet,MATERIALS,MDF,mdf-vs-baltic-birch-plywood-speaker-cabinets,https://woodsat.com/mdf-vs-baltic-birch-plywood-speaker-cabinets/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,4,1087,STRUCTURAL_INFERRED (no GSC)
baltic birch speaker cabinet,MATERIALS,Baltic birch,mdf-vs-baltic-birch-plywood-speaker-cabinets,https://woodsat.com/mdf-vs-baltic-birch-plywood-speaker-cabinets/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,4,1087,STRUCTURAL_INFERRED (no GSC)
plywood speaker cabinet,MATERIALS,plywood,mdf-vs-baltic-birch-plywood-speaker-cabinets,https://woodsat.com/mdf-vs-baltic-birch-plywood-speaker-cabinets/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,4,1087,STRUCTURAL_INFERRED (no GSC)
mdf vs plywood speaker,INFORMATIONAL,MDF,wooden-vs-mdf-speaker-cabinets,https://woodsat.com/wooden-vs-mdf-speaker-cabinets/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,2,837,STRUCTURAL_INFERRED (no GSC)
best wood for speaker boxes,INFORMATIONAL,materials,best-wood-for-speaker-boxes,https://woodsat.com/best-wood-for-speaker-boxes/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,6,829,STRUCTURAL_INFERRED (no GSC)
speaker cabinet materials,INFORMATIONAL,materials,speaker-box-materials,https://woodsat.com/speaker-box-materials/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,8,751,STRUCTURAL_INFERRED (no GSC)
speaker box materials,INFORMATIONAL,materials,speaker-box-materials,https://woodsat.com/speaker-box-materials/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,8,751,STRUCTURAL_INFERRED (no GSC)
speaker cabinet design,INFORMATIONAL,materials,wooden-speaker-cabinet-designs,https://woodsat.com/wooden-speaker-cabinet-designs/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,6,1139,STRUCTURAL_INFERRED (no GSC)
speaker cabinet construction,INFORMATIONAL,materials,speaker-cabinet-manufacturing,https://woodsat.com/speaker-cabinet-manufacturing/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,9,675,STRUCTURAL_INFERRED (no GSC)
speaker box calculator,INFORMATIONAL,materials,speaker-box-calculator,https://woodsat.com/speaker-box-calculator/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,10,931,STRUCTURAL_INFERRED (no GSC)
speaker box veneering,INFORMATIONAL,materials,speaker-box-veneering,https://woodsat.com/speaker-box-veneering/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,6,663,STRUCTURAL_INFERRED (no GSC)
speaker box finishes,INFORMATIONAL,materials,speaker-box-finishes,https://woodsat.com/speaker-box-finishes/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,10,623,STRUCTURAL_INFERRED (no GSC)
piano lacquer speaker finish,INFORMATIONAL,materials,high-gloss-piano-lacquer-finishing-process-wood-speakers,https://woodsat.com/high-gloss-piano-lacquer-finishing-process-wood-speakers/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LOW,REQUIRES_GSC_TO_CLASSIFY,1,1141,STRUCTURAL_INFERRED (no GSC)
contact woodsat,NAVIGATIONAL,brand,contact,https://woodsat.com/contact/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,N/A,REQUIRES_GSC_TO_CLASSIFY,6,371,STRUCTURAL_INFERRED (no GSC)
