query,intent,current_url,intended_owner,impressions,clicks,ctr,position,opportunity,evidence_class
speaker cabinet cnc machining,SERVICE,NOT_AVAILABLE,https://woodsat.com/speaker-cabinet-cnc-machining-service/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
speaker cabinet cnc machining service,SERVICE,NOT_AVAILABLE,https://woodsat.com/speaker-cabinet-cnc-machining-service/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
cnc wood routing,SERVICE,NOT_AVAILABLE,https://woodsat.com/custom-cnc-wood-routing-services/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
cnc speaker cabinet manufacturing,SERVICE,NOT_AVAILABLE,https://woodsat.com/speaker-cabinet-cnc-machining-service/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
hifi speaker cabinet,PRODUCT_APPLICATION,NOT_AVAILABLE,https://woodsat.com/hifi-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
hifi speaker cabinet manufacturer,PRODUCT_APPLICATION,NOT_AVAILABLE,https://woodsat.com/hifi-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
audiophile speaker cabinet,PRODUCT_APPLICATION,NOT_AVAILABLE,https://woodsat.com/hifi-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
wooden speaker enclosure manufacturer,COMMERCIAL,NOT_AVAILABLE,https://woodsat.com/wooden-speaker-enclosure-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
speaker enclosure manufacturer,COMMERCIAL,NOT_AVAILABLE,https://woodsat.com/wooden-speaker-enclosure-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
acoustic speaker enclosure,PRODUCT_APPLICATION,NOT_AVAILABLE,https://woodsat.com/acoustic-wood-speaker-enclosures/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
wooden speaker box manufacturer,COMMERCIAL,NOT_AVAILABLE,https://woodsat.com/wooden-speaker-box-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
speaker box,PRODUCT_APPLICATION,NOT_AVAILABLE,https://woodsat.com/wooden-speaker-box-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
speaker box manufacturer,COMMERCIAL,NOT_AVAILABLE,https://woodsat.com/wooden-speaker-box-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
empty speaker box,PRODUCT_APPLICATION,NOT_AVAILABLE,https://woodsat.com/custom-empty-wooden-speaker-cabinet-boxes-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
empty speaker cabinet manufacturer,COMMERCIAL,NOT_AVAILABLE,https://woodsat.com/custom-empty-wooden-speaker-cabinet-boxes-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
blank speaker cabinet,PRODUCT_APPLICATION,NOT_AVAILABLE,https://woodsat.com/custom-empty-wooden-speaker-cabinet-boxes-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
subwoofer cabinet,PRODUCT_APPLICATION,NOT_AVAILABLE,https://woodsat.com/subwoofer-enclosure-design/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
bookshelf speaker cabinet,PRODUCT_APPLICATION,NOT_AVAILABLE,NONE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,CONTENT_GAP,STRUCTURAL_INFERRED
mdf speaker cabinet,MATERIALS,NOT_AVAILABLE,https://woodsat.com/mdf-vs-baltic-birch-plywood-speaker-cabinets/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
baltic birch speaker cabinet,MATERIALS,NOT_AVAILABLE,https://woodsat.com/mdf-vs-baltic-birch-plywood-speaker-cabinets/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
plywood speaker cabinet,MATERIALS,NOT_AVAILABLE,https://woodsat.com/mdf-vs-baltic-birch-plywood-speaker-cabinets/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
